year,exchange_rate,Corruption Perception Index,gdp_growth,ca_gdp,infl_diff,reserves_moi,country,log_exchange_rate,depreciation,lreserves_moi,corr_inv,corr_inv_l1,infl_diff_l1,ca_gdp_l1,reserves_moi_l1,gdp_growth_l1,AFC_97_98,GFC_08_09,COVID_20_22
2020.0,14552.1728,37.0,-2.06551,-0.41860625,1.9209680056685,8.406974846397967,Indonesia,9.58549559478386,0.028414226546317423,2.1290617001655705,63.0,60.0,3.03058664969487,-2.70566198,6.317774344195018,5.019288,0,0,1
2021.0,14297.1633,38.0,3.702886,0.295885915,1.56012990525673,6.785175853930168,Indonesia,9.567816425940572,-0.01767916884328713,1.9147402109952056,62.0,63.0,1.9209680056685,-0.41860625,8.406974846397967,-2.06551,0,0,1
2022.0,14852.3045,34.0,5.307197,1.001828751,4.20946383402165,5.2132207747009645,Indonesia,9.605910317376056,0.038093891435483584,1.651197855685471,66.0,62.0,1.56012990525673,0.295885915,6.785175853930168,3.702886,0,0,1
2023.0,15236.1711,34.0,5.049023,-0.14889934,3.67013142377007,5.728065594413437,Indonesia,9.63142755751706,0.02551724014100465,1.7453778811314347,66.0,66.0,4.20946383402165,1.001828751,5.2132207747009645,5.307197,0,0,0
2024.0,15856.5669,37.0,5.030345,-0.62171102,2.181512736,5.7179051764268065,Indonesia,9.67133900895789,0.03991145144082964,1.743602510416481,63.0,66.0,3.67013142377007,-0.14889934,5.728065594413437,5.049023,0,0,0
1995.0,2.5066,52.8,9.829085,-9.74414012,3.45057509584895,3.1658883647611082,Malaysia,0.9189272531952849,,1.1524337001805185,47.2,,,,,,0,0,0
1996.0,2.5151,53.2,10.0027,-4.42410266,3.48855945858916,3.412102565227203,Malaysia,0.9223125641926493,0.003385310997364388,1.227328689326288,46.8,47.2,3.45057509584895,-9.74414012,3.1658883647611082,9.829085,0,0,0
1997.0,2.8155,50.1,7.322742,-5.93493554,2.66251459711946,2.5718898112105006,Malaysia,1.0351398657125361,0.11282730151988685,0.944640963782098,49.9,46.8,3.48855945858916,-4.42410266,3.412102565227203,10.0027,1,0,0
1998.0,3.9205,53.0,-7.35942,13.20352124,5.27034200348766,4.315645955255741,Malaysia,1.3662191966888395,0.3310793309763034,1.462247013274866,47.0,49.9,2.66251459711946,-5.93493554,2.5718898112105006,7.322742,1,0,0
1999.0,3.8,51.0,6.137612,15.92408001,2.74456130240604,4.437743926725844,Malaysia,1.33500106673234,-0.03121812995649953,1.4901461226937789,49.0,47.0,5.27034200348766,13.20352124,4.315645955255741,-7.35942,0,0,0
2000.0,3.8,48.0,8.858868,9.049918491,1.53474023697699,3.310322610086363,Malaysia,1.33500106673234,0.0,1.1970456499224285,52.0,49.0,2.74456130240604,15.92408001,4.437743926725844,6.137612,0,0,0
2001.0,3.8003,50.0,0.517675,7.853559344,1.41678473206098,3.7791037256846507,Malaysia,1.3350800109845817,7.894425224175272e-05,1.3294868719093338,50.0,52.0,1.53474023697699,9.049918491,3.310322610086363,8.858868,0,0,0
2002.0,3.8004,49.0,5.390988,7.12945542,1.80787246281536,4.035129814636161,Malaysia,1.3351063243504573,2.6313365875552108e-05,1.3950384733571035,51.0,50.0,1.41678473206098,7.853559344,3.7791037256846507,0.517675,0,0,0
2003.0,3.8,52.0,5.788499,12.14235056,1.08967632577286,5.007262129418004,Malaysia,1.33500106673234,-0.00010525761811730483,1.6108892845674336,48.0,51.0,1.80787246281536,7.12945542,4.035129814636161,5.390988,0,0,0
2004.0,3.8,50.0,6.783438,12.08777381,1.42127115937402,6.164837669439875,Malaysia,1.33500106673234,0.0,1.8188618052785421,50.0,48.0,1.08967632577286,12.14235056,5.007262129418004,5.788499,0,0,0
2005.0,3.7871,51.0,5.332139,13.91997009,2.97507092684449,5.943001358137109,Malaysia,1.3316005546972436,-0.0034005120350963924,1.7822142849116906,49.0,50.0,1.42127115937402,12.08777381,6.164837669439875,6.783438,0,0,0
2006.0,3.6674,50.0,5.584847,16.10372222,3.60923564224389,6.204070774553972,Malaysia,1.299482964132927,-0.03211759056431651,1.825205653139934,50.0,49.0,2.97507092684449,13.91997009,5.943001358137109,5.332139,0,0,0
2007.0,3.4373,51.0,6.298786,15.38112086,2.02735317779569,6.704203767712445,Malaysia,1.2346862794818803,-0.06479668465104682,1.9027347576630387,49.0,50.0,3.60923564224389,16.10372222,6.204070774553972,5.584847,0,0,0
2008.0,3.3332,51.0,4.83177,16.8597967,5.44078221100769,5.589263215446486,Malaysia,1.2039328035259147,-0.03075347595596556,1.720847474445475,49.0,49.0,2.02735317779569,15.38112086,6.704203767712445,6.298786,0,1,0
2009.0,3.5247,45.0,-1.51353,15.72301053,0.583308405623702,7.244614620960147,Malaysia,1.2597953262594996,0.05586252273358494,1.9802583819438206,55.0,49.0,5.44078221100769,16.8597967,5.589263215446486,4.83177,0,1,0
2010.0,3.221,44.0,7.424847,10.05567785,1.62285235577035,6.341152098584218,Malaysia,1.1696918703490617,-0.09010345591043789,1.8470604709598262,56.0,55.0,0.583308405623702,15.72301053,7.244614620960147,-1.51353,0,0,0
2011.0,3.0588,43.0,5.293913,10.90500197,3.1744709215131,6.915595438696226,Malaysia,1.118022682187933,-0.05166918816112864,1.933779069680944,57.0,56.0,1.62285235577035,10.05567785,6.341152098584218,7.424847,0,0,0
2012.0,3.0885,49.0,5.473454,5.18877995,1.66357102479206,6.963827820048551,Malaysia,1.1276855361538167,0.009662853965883622,1.9407292973108827,51.0,57.0,3.1744709215131,10.90500197,6.915595438696226,5.293913,0,0,0
2013.0,3.1509,50.0,4.693723,3.466143537,2.10501231233612,6.667252439109115,Malaysia,1.1476881263147023,0.02000259016088557,1.8972078468922693,50.0,51.0,1.66357102479206,5.18877995,6.963827820048551,5.473454,0,0,0
2014.0,3.2728,52.0,6.006722,4.391591662,3.14299050879095,5.6700220201029214,Malaysia,1.1856458876330518,0.03795776131834949,1.735193001348155,48.0,50.0,2.10501231233612,3.466143537,6.667252439109115,4.693723,0,0,0
2015.0,3.9064,50.0,5.091532,3.008918501,2.10438980238359,5.507770410748169,Malaysia,1.3626162337653134,0.1769703461322616,1.7061598971269505,50.0,48.0,3.14299050879095,4.391591662,5.6700220201029214,6.006722,0,0,0
2016.0,4.1442,49.0,4.449781,2.367685913,2.09056659525742,5.642709978275126,Malaysia,1.4217097663408451,0.05909353257553174,1.7303644427123341,51.0,50.0,2.10438980238359,3.008918501,5.507770410748169,5.091532,0,0,0
2017.0,4.2983,47.0,5.812722,2.807870911,3.87120115774237,5.507607411304215,Malaysia,1.4582195956913522,0.03650982935050706,1.706130302237588,53.0,51.0,2.09056659525742,2.367685913,5.642709978275126,4.449781,0,0,0
